date,togo_sales,dine_in_sales,tax_collected,gross_sale,gratuity_total,net_sale,credit_total,cash_deposited
2021-01-01,14100.47,16141.5,1089.79,31331.760000000002,710.8,32017.56,26237.5,8890.73
2021-02-01,10527.33,22970.44,1546.83,35044.6,1468.88,36191.979999999996,29888.94,9475.08
2021-03-01,13330.7,26097.43,1746.6,41174.73,1432.39,42353.72,35926.41,10998.06
2021-04-01,12089.48,22069.89,1473.52,35632.88999999999,1170.34,36491.22999999999,30220.17,10201.46
2021-05-01,10337.87,26155.36,1777.87,38271.100000000006,1853.5,39643.16,33362.45,10148.35
2021-06-01,10836.15,27051.52,1827.43,39715.1,1186.3,40791.4,35173.11,10730.87
2021-07-01,9522.74,22942.53,1552.59,34017.85999999999,920.84,34649.38999999999,28831.39,10172.91
2021-08-01,10663.47,23001.78,1548.23,35213.48,900.33,36058.41,30534.42,9484.59
2021-09-01,9736.63,22345.74,1511.27,33593.64,1087.51,34662.15,29659.07,8266.54
2021-10-01,11466.77,23685.62,1597.0,36749.39,836.28,37585.67,31797.21,10419.34
2021-11-01,9562.4,21264.94,1432.69,32260.029999999995,1146.23,33081.42999999999,27651.83,9222.33
2021-12-01,13190.94,24246.6,1580.74,39018.28,962.36,39785.14,35243.53,9404.63
2022-01-01,10888.5,21541.84,1449.3,33879.64,1768.53,35116.159999999996,31216.26,7533.69
2022-02-01,7009.36,26824.06,1810.71,35644.13,1856.2,37607.56,32274.37,9345.12
2022-03-01,10254.44,26654.18,1797.75,38706.37,2226.67,39923.22,34009.43,10558.28
2022-04-01,10191.8,24100.25,1621.97,35914.020000000004,2394.74,37893.48,33254.74,8565.54
2022-05-01,9027.91,21435.0,1462.83,31925.739999999998,1766.97,33520.37,29172.64,8247.95
2022-06-01,9304.44,18460.95,1246.03,29011.42,1483.67,30009.739999999998,24754.03,8724.51
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,32525.4,2644.5,178.03,35347.93,0.0,35347.93,27518.83,6128.01
2020-06-01,13147.96,16332.71,887.41,30368.079999999998,0.0,30216.14,23921.3,9391.25
2020-07-01,16621.97,16812.3,1116.53,34550.8,0.0,33846.380000000005,25137.4,12954.18
2020-08-01,18350.0,17698.27,1235.52,37283.79,439.38,37494.13,30341.39,10771.71
2020-09-01,12794.19,12477.26,860.15,26131.6,213.5,26320.75,21959.04,6967.04
2020-10-01,21229.35,15225.74,1432.93,37888.02,519.77,37943.20999999999,33076.96,9205.54
2020-11-01,13062.67,12965.27,875.33,26903.270000000004,340.57,27096.580000000005,22329.85,7241.42
2020-12-01,13637.08,17878.57,926.67,32442.32,389.5,32805.82,2689.99,8905.82
